Title,Composer,Attrib,Genre,Manuscript_source,Folio_numbers,Number_of_voices,Clefs,Concordant_Sources,Modus,Tempus,Primary Edition,Reference,MEI_CMN_file,MEI_MENS_file,PDF_file,Mp3_file,Image_files,Has_online_images,IIIF_manifest,DIAMM_item,DIAMM_source,Other_online_images,Transcription_entered_by,Transcription_entered_date,Transcription_checked_by,Transcription_checked_by_date,MEI_MENS_created_by,MEI_MENS_created_date,Additional_comments_on_transcription,Notes_on_motet_texts,Variants_description,Additional_comments_on_database_record
Firmissime/Adesto,Philippe de Vitry,TRUE,Motet,Fauv,"43r, 43v",3,"c2, c3, c4","Br, Koblenz, Robertsbridge",,,Schrade,,Fauv/adesto.mei,Fauv/adesto_MENSURAL.mei,,,,Yes,http://gallica.bnf.fr/iiif/ark:/12148/btv1b8454675g/manifest.json,,https://www.diamm.ac.uk/sources/88/,,KD,5/1/2015,"EH, SH, KD",3/25/2016,MT,3/17/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",,,
Garrit/In nova,Philippe de Vitry,TRUE,Motet,Fauv,44v,3,"c2, c2, c4",Pic,,,Schrade,,Fauv/in_nova.mei,,,,,Yes,http://gallica.bnf.fr/iiif/ark:/12148/btv1b8454675g/manifest.json,,https://www.diamm.ac.uk/sources/88/,,KD,5/2/2015,"EH, SH, KD",6/3/2015,MT,3/17/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",,,
Super/Presidentes,Anonymous,,Motet,Fauv,1v,3,"c2, c2, c4","Br, Cambrai B165, Ob 271, Troyes 1949",,,Schrade,,Fauv/presidentes.mei,Fauv/presidentes_MENSURAL.mei,,,,Yes,http://gallica.bnf.fr/iiif/ark:/12148/btv1b8454675g/manifest.json,,https://www.diamm.ac.uk/sources/88/,,KD,5/1/2015,"EH, SH, KD",6/1/2015,MT,3/17/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",,,
Scariotis/Jure,Anonymous,,Motet,Fauv,2r,3,"c2, c2, c5",,,,Schrade,,Fauv/iure.mei,Fauv/iure_MENSURAL.mei,,,,Yes,http://gallica.bnf.fr/iiif/ark:/12148/btv1b8454675g/manifest.json,,https://www.diamm.ac.uk/sources/88/,,SM,5/9/2015,"EH, SH, KD",3/22/2016,MT,3/17/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",,,
Nulla/Plange,Anonymous,,Motet,Fauv,3r,3,"c3, c5, f4",,,,Schrade,,Fauv/plange.mei,Fauv/plange_MENSURAL.mei,,,,Yes,http://gallica.bnf.fr/iiif/ark:/12148/btv1b8454675g/manifest.json,,https://www.diamm.ac.uk/sources/88/,,SM,5/23/2015,"EH, SH, KD",5/28/2015,MT,3/17/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",,,
Detractor/Qui secuntur,Anonymous,,Motet,Fauv,3r,3,"c2, c3, c4",Pn 571,,,Schrade,,Fauv/qui_secuntur.mei,Fauv/qui_secuntur_MENSURAL.mei,,,,Yes,http://gallica.bnf.fr/iiif/ark:/12148/btv1b8454675g/manifest.json,,https://www.diamm.ac.uk/sources/88/,,SM,5/24/2015,"EH, SH, KD",6/1/2015,MT,3/17/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",,,
Floret/Florens,Anonymous,,Motet,Br,v,3,"c2, c3, f2c4",,,,Harrison,,Fauv/florens.mei,Fauv/florens_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/4/,,EH,4/29/2016,"EH, SH, KD",3/22/2016,MT,3/17/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
Mater/Gaude,Anonymous,,Motet,Br,r,3,"c2, c2, f2c4",Koblenz,,,,,Fauv/gaude.mei,Fauv/gaude_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/4/,,KD,4/29/2016,"EH, SH, KD",3/22/2016,MT,3/17/2017,"Original transcription from Cuthbert. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows Br.,,
Colla/Bona,Philippe de Vitry,,Motet,Trem,2v,3,"c1, c3, c4","Apt, Arras, Cambrai, Sm 222, Tarragona 1, Tarragona 2, Wroclaw, Trem (index)",,,Schrade,,IvTrem/bona.mei,IvTrem/bona_MENSURAL.mei,,,,Yes,http://gallica.bnf.fr/iiif/ark:/12148/btv1b8451108d/manifest.json,,https://www.diamm.ac.uk/sources/98/,,KD,4/25/2016,"EH, SH, KD",10/9/2016,MT,3/13/2017,"Original MusicXML file from Cuthbert (which was transcribed from PMFC). Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.","Text corrected against David Howlett edition in Wathey, EMH 1993, 137-8, differences in Trem noted below.","The copy text for this transcription is the version found in Trem. Variants in other sources not yet noted. Tr 27 c2 clef / 28 es added in a smaller hand / 30 c1 clef / 59 Trem ‘pongere’ / Mot 8, 20 in transcription comma above breve rest indicates rest followed by a dot / 18 Trem ‘thesauziratis’ / 52 Trem ‘quae’ /",
Se grace/Cum venerint,Anonymous,,Motet,Iv,21v,3,,"Tournai, Wroclaw, Trem (index)",,,Schrade,,IvTrem/cum_venerint.mei,IvTrem/cum_venerint_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/141/,,EH,3/16/2016,"EH, SH, KD",10/9/2016,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
In virtute/Decens,Philippe de Vitry,,Motet,Iv,55v,4,,"Pn 2444, Trem (index)",,,Harrison,,IvTrem/decens.mei,IvTrem/decens_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/141/,,SH,7/21/2016,"EH, SH, KD",10/9/2016,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
Apta/Flos,Anonymous,,Motet,Durham,"338v, 339r",3,,"Cambrai, Chantilly, Durham, Modena, San Lorenzo, Trem (index)",,,Harrison,,IvTrem/flos.mei,IvTrem/flos_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/363/,,KD,7/22/2016,"EH, SH, KD",4/11/2017,MT,3/13/2017,"Edition made for Appendix to Desmond, Ars nova in Music and Medieval Thought (CUP, forthcoming).","Readings from Günther’s edition (which do accord with the text of Durham), with some modifications to the punctuation and some alternate readings taken from the other available editions.","The copy text for this edition is the three-voice version found in Durham; variants in the other three complete sources for this motet are listed below (there is a short lacuna in Iv from breve 74 to the first pitch in breve 86 in the triplum due to manuscript damage). The readings in Chantilly and Modena are very close to those in Durham, whereas there are several pitch variants (especially in the hocket sections) in Iv. A contratenor part is added in the Iv and Modena, and Chantilly has an alternate contratenor. The numbers below refer to the breve units, and the superscript refers to the pitch (not counting rests) within the breve unit. The text underlay in the hockets follows the recommendations given in Zayaruznaya, ‘Hockets as Compositional and Scribal Practice’ (see especially the table on 470-1). Ligature brackets are from Durham, and variants in ligatures, dots, and notated accidentals are not noted. Tr 	31.1 Iv f / 31.5 Iv f / 31.5 Mod e / 32.5 Iv dd / 38.5 Iv f / 46.5 Iv f / 47.5 Ch aa / 58.5 Mod aa / 64.3 Ch aa bb (S M) / 65.5 Dur aa/ 66.5 Iv bb / 73.5 Iv dd / 74.5 Mod c / 90.5 Iv f (S) (Srest) Ch f (maxima) Dur f (L) / Mot 10-12 Ch c (B) c (B) (Brest) / 22.5 Iv g om / 29.5 Iv cde fef  (SSS MMM) / 43.3 om Ch Mod / 84.5-6 f g Ch / 89-90 Mod (Srest) e (S) f (S) (Brest) / T  90 final 2 S rests om Iv",
Cum statua/Hugo,Philippe de Vitry,,Motet,Iv,"14v, 15r",3,,"Cambrai, Trem (index)",,,Schrade,,IvTrem/hugo.mei,IvTrem/hugo_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/141/,,KD,8/2/2016,"EH, SH, KD",10/9/2016,MT,3/13/2017,"Original MusicXML file from Cuthbert (which was transcribed from PMFC). Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
Mon chant/Qui doloreus,Anonymous,,Motet,Iv,"22v, 23r",3,"c2, c2, c4","Durham, Trem (index)",,,Harrison,,IvTrem/quiDoloreus.mei,IvTrem/quiDoloreus_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/141/,,SH,3/24/2016,"EH, SH, KD",4/10/2017,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,The copy text for this transcription is the version found in Iv. Tr ‘1 en’ / 2 ‘beus’ / 4 ‘mesonches’ / 8 c1 clef / 9 ‘mons’ / 22 ‘des’ supplied by PMFC / 26 ’ne’ written twice in Iv / 32 ‘ destre namer’ / 39 ‘que je aour’ / Mot 6.1 no dot in Iv / 14.1 no dot in Iv / 16 ‘sens’ / 19 ‘maint’ supplied by PMFC / 34 ‘por nous’ ‘cui’ / 37 ‘Orec’,
Li enseignment/De touz,Anonymous,,Motet,Fribourg,r,3,,"Iv, Trem (index)",,,Harrison,,IvTrem/de_touz.mei,IvTrem/de_touz_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/15/,,SH,7/6/2016,"EH, SH, KD",,MT,3/13/2017,"Scanned file corrected from Zwick. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows Zwick edition. Variants in manuscript noted below.,,
Se paour/Diex,Anonymous,,Motet,Iv,"25v, 26r",3,,"Cambrai, Cambrai C 647, Ob 7, Trem (index)",,,Harrison,,IvTrem/diex.mei,IvTrem/diex_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/141/,,EH,7/21/2016,"EH, SH, KD",,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
Amer/Durement,Anonymous,,Motet,Iv,"56v, 57r",3,,"Durham, Pic, Trem (index)",,,Harrison,,IvTrem/durement.mei,IvTrem/durement_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/141/,,KD,7/21/2016,"EH, SH, KD",,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
Post Missarum/Post Misse,Anonymous,,Motet,Iv,"7v, 8r",4,,"Aachen, Trem (index)",,,Harrison,,IvTrem/postMisse.mei,IvTrem/postMisse_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/141/,,SH,6/24/2016,"EH, SH, KD",,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
O Canenda/Rex,Philippe de Vitry,,Motet,Fribourg,v,4,,"Durham, Iv, Pn 2444, Trem (index)",,,Schrade,,IvTrem/rex_quem.mei,IvTrem/rex_quem_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/15/,,KD,7/25/2016,"EH, SH, KD",,MT,3/13/2017,"Original MusicXML file from Cuthbert (which was transcribed from PMFC). Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
Flos/Celsa,Anonymous,,Motet,Iv,"9v, 10r",3,,"Cambrai, Pn 2444, Pn 22069, San Lorenzo, Würzburg 10a, Trem (index)",,,Harrison,,IvTrem/celsa.mei,IvTrem/celsa_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/141/,,EH,7/21/2016,"EH, SH, KD",,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
L'amoureuse/En l'estat,Anonymous,,Motet,Iv,"59v, 60r",3,,"Durham, Trem (index)",,,Harrison,,IvTrem/en_lestat.mei,IvTrem/en_lestat_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/141/,,SH,7/7/2016,"EH, SH, KD",,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
Je commence/Et se je serai,Anonymous,,Motet,Iv,"61v, 62r",3,,"Lbl 41667, Trem (index)",,,Harrison,,,,,,,No,,,https://www.diamm.ac.uk/sources/141/,,,,,,,,,,,
Douce/Garison,Philippe de Vitry,,Motet,Iv,"23v, 24r",3,,Trem (index),,,Schrade,,IvTrem/garison.mei,,,,,No,,,https://www.diamm.ac.uk/sources/141/,,KD,7/7/2016,"EH, SH, KD",,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
Vos/Gratissima,Philippe de Vitry,,Motet,Durham,"336v, 337r",4,,"Aachen, Bar 5170, Cambrai, Durham, Escorial, Trem (index)",,,Schrade,,IvTrem/gratissima.mei,IvTrem/gratissima_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/363/,,KD,7/7/2016,"EH, SH, KD",,MT,3/13/2017,"Original MusicXML file from Cuthbert (which was transcribed from PMFC). Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
Tuba/In arboris,Philippe de Vitry,,Motet,Iv,"15v, 16r",3,"c1, c1, c3",Trem (index),,,Schrade,,IvTrem/in_arboris.mei,,,,,No,,,https://www.diamm.ac.uk/sources/141/,,KD,4/25/2016,"EH, SH, KD",4/12/2017,MT,3/13/2017,"Original MusicXML file from Cuthbert (which was transcribed from PMFC). Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against Iv",Text follows PMFC edition. Variants in source noted below.,"The copy text for this transcription is Iv. Tr 18 c2 clef / 20 c1 clef / Mot 8-9 ‘prospere’ / Ten Coloration transcribed with red font, indicates change to perfect mensuration /",
Fortune/Ma dolour,Anonymous,,Motet,Cambrai,7r,3,"c1, c2, c4","Cambrai, Pic, Trem (index)",,,Harrison,,IvTrem/ma_dolour.mei,IvTrem/ma_dolour_MENSURAL.mei,,,,Yes,,,https://www.diamm.ac.uk/sources/271/,,KD,12/3/2016,"EH, SH, KD",4/11/2017,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,The copy text for this transcription is the version found in Cambrai. Variants in Iv listed below. Tr 3.1-2 lacuna Cambrai / 6 ‘en’ Cambrai / 6.3 e Iv / 7 ‘bus chance’ Cambrai / 8 ‘muanche’ Cambrai / 10.3-6 dcde Iv / 11.1 f  Iv / 13 ‘nest seure’ Cambrai / 16 ‘mais or’ Cambrai / 18.2 lacuna Cambrai / 21.1-6 fgfegg Iv / 22 c2 clef Cambrai / 22.7 om Iv / 22.3 c’b’ (SM) Iv /  27.7 M Cambrai / 27.4 S Cambrai / 28 ‘dolant’ Cambrai / 30.4-8 fedecd (SMSMSM) Iv / 32 ‘de mail’ Cambrai / 32.3 M Cambrai /Mot 31 no dot Cambrai / 6 ‘viertu’ Cambrai / 8 ’nouvelle’ Cambrai / 9.1 e followed by 2B rest Iv / 13 ‘douch’ Cambrai / 15.1 no dot Cambrai / 18 ‘a qui bontes’ Cambrai / 27.1 no dot Cambrai / 34 ‘mors vieng viens a’ Cambrai / 36 ‘ie’ Cambrai / 383 om Iv /,Lerch folio is 15r
Zolomina/Nazarea,Anonymous,,Motet,Iv,"13v, 14r",3,,BarcA,,,Harrison,,IvTrem/nazarea.mei,,,,,No,,,https://www.diamm.ac.uk/sources/141/,,SH,3/24/2016,"EH, SH, KD",,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
Ida/Portio,Anonymous,,Motet,Iv,"6v, 7r",4,,"Sm 222, Trem (index)",,,Harrison,,IvTrem/portio.mei,IvTrem/portio_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/141/,,EH,7/21/2016,"EH, SH, KD",,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
Almifonis/Rosa,Anonymous,,Motet,Iv,"11v, 12r",3,"c1, c3, c4","Cortona 1, Trem (index)",,,Harrison,,IvTrem/rosa.mei,IvTrem/rosa_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/141/,,EH,7/21/2016,"EH, SH, KD",4/17/2017,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,"The copy text for this transcription is the version found in Iv. Variants in other sources not yet noted. Tr 1.3 PMFC V has this g as a perfect breve, but there is no dot in Iv /  3 ‘istas’ Iv /  41 ‘semper nam volo si pars’ Iv / 42.2 c2 clef Iv / Mot 43 ‘honerum’ Iv / 46 no dot Iv / 56 no dot Iv / ",
Impudenter/Virtutibus,Philippe de Vitry,TRUE,Motet,Iv,"4v, 5r",4,,"Apt, Bar 5170, BernA, Br, Lu 342A, San Lorenzo, Sm 222, Tarragona 1, Troyes1397",,,Schrade,,IvTrem/virtutibus.mei,,,,,No,,,https://www.diamm.ac.uk/sources/141/,,KD,4/25/2016,"EH, SH, KD",,MT,3/13/2017,"Original MusicXML file from Cuthbert (which was transcribed from PMFC). Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
Apollinis/Zodiacum,Anonymous,,Motet,Iv,"12v, 13r",3,,"BarcA, BarcC, Lu 2515, Lpro, Oas 56, Pad C, San Lorenzo, Sm 222, Tarragona 2, Wn 922, Wn 5094, Trem (index)",,,Harrison,,IvTrem/zodiacum.mei,IvTrem/zodiacum_MENSURAL.mei,,,,No,,,https://www.diamm.ac.uk/sources/141/,,SH,5/15/2016,"EH, SH, KD",,MT,3/13/2017,"Scanned file corrected from PMFC. Rhythmic durations augmented following our project’s transcription conventions. Pitches, rhythms and mensural notation features checked and corrected against manuscript source.",Text follows PMFC edition. Variants in source noted below.,,
